Step,Throttle Action,Steering Action,Top Throttle Factor 1,Top Throttle Factor 2,Top Throttle Factor 3,Top Steering Factor 1,Top Steering Factor 2,Top Steering Factor 3
80,1.3515998125076294,-0.03728805109858513,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
81,1.3509105443954468,-0.03636247292160988,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
82,1.3502206802368164,-0.03543401136994362,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
83,1.3495299816131592,-0.03450208157300949,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
84,1.3488388061523438,-0.033566322177648544,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
85,1.348146677017212,-0.032627686858177185,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
86,1.3474535942077637,-0.03168853372335434,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
87,1.3467562198638916,-0.03073297068476677,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
88,1.3460485935211182,-0.02971787005662918,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
89,1.3453351259231567,-0.028666652739048004,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
90,1.344618320465088,-0.02759445458650589,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
91,1.3438994884490967,-0.0265096053481102,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
92,1.3431792259216309,-0.025416575372219086,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
93,1.3424577713012695,-0.024318620562553406,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
94,1.3417348861694336,-0.02321545220911503,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
95,1.3410109281539917,-0.022107571363449097,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
96,1.3402856588363647,-0.020995141938328743,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
97,1.3395593166351318,-0.019878080114722252,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
98,1.3388316631317139,-0.018756352365016937,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
99,1.3381024599075317,-0.01762918010354042,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
100,1.337372064590454,-0.016497358679771423,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
101,1.3366398811340332,-0.01536022312939167,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
102,1.3359066247940063,-0.014217566698789597,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
103,1.3351719379425049,-0.01306984294205904,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
104,1.3344357013702393,-0.011916954070329666,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
105,1.33369779586792,-0.010758325457572937,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
106,1.332958698272705,-0.009594145230948925,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
107,1.3322175741195679,-0.008423988707363605,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
108,1.3314752578735352,-0.007247789762914181,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
109,1.3307310342788696,-0.006066149566322565,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
110,1.3299825191497803,-0.0048231869004666805,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
111,1.3292884826660156,-0.003803643397986889,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
112,1.3287569284439087,-0.0038037067279219627,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
113,1.328160285949707,-0.0034981085918843746,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
114,1.3275686502456665,-0.003234044648706913,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
115,1.3269734382629395,-0.00295497989282012,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
116,1.3263776302337646,-0.002675697673112154,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
117,1.3257807493209839,-0.0023951753973960876,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
118,1.325183391571045,-0.002113478258252144,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
119,1.3245856761932373,-0.0018318574875593185,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
120,1.3239872455596924,-0.00154833123087883,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
121,1.323387861251831,-0.0012645898386836052,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
122,1.3227880001068115,-0.0009798556566238403,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
123,1.322187900543213,-0.0006944891065359116,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
124,1.3215866088867188,-0.00040806829929351807,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
125,1.320984959602356,-0.00012073945254087448,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
126,1.3203825950622559,0.00016728416085243225,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
127,1.3196563720703125,0.00044041872024536133,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
128,1.3188507556915283,0.0008183103054761887,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
129,1.3180396556854248,0.0012283772230148315,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
130,1.3172303438186646,0.001627783291041851,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
131,1.316420316696167,0.0020280685275793076,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
132,1.3156089782714844,0.0024298587813973427,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
133,1.3147974014282227,0.0028311125934123993,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
134,1.3139843940734863,0.0032349927350878716,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
135,1.3131701946258545,0.0036387015134096146,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
136,1.3123595714569092,0.004041668027639389,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
137,1.3115520477294922,0.004453371278941631,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
138,1.310741901397705,0.004877688363194466,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
139,1.3099315166473389,0.005299689248204231,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
140,1.3091168403625488,0.005715713836252689,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
141,1.3080346584320068,0.006126026622951031,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
142,1.3068480491638184,0.006873796693980694,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
143,1.3056668043136597,0.007600896991789341,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
144,1.3044865131378174,0.008324298076331615,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
145,1.3033058643341064,0.009046499617397785,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
146,1.3021241426467896,0.00976953748613596,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
147,1.3009421825408936,0.01049302238970995,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
148,1.2997618913650513,0.011204053647816181,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
149,1.2985738515853882,0.011960326693952084,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
150,1.2973299026489258,0.013020112179219723,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
151,1.296100378036499,0.014007658697664738,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
152,1.2948684692382812,0.01500787679105997,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
153,1.2936365604400635,0.016005709767341614,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
154,1.2924031019210815,0.017005395144224167,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
155,1.2911689281463623,0.01800774782896042,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
156,1.2899339199066162,0.019009411334991455,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
157,1.2886977195739746,0.020015094429254532,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
158,1.2874609231948853,0.021020878106355667,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
159,1.2862226963043213,0.02202799543738365,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
